instance,ordinary_sha256,portable_sha256,ordinary_action_sha256,portable_action_sha256,ordinary_nodes,portable_nodes,ordinary_llm_calls,portable_llm_calls,action_tree_equal
django__django-11564,8f8cfa050eadf1739656d3aba281dda753e28d8a1852096cfdab67d34b39ad5e,e7ed575f88df45ec7563677ed71cbea31367cfd9142bf719da36359b28d8c33c,ef41b5bf9409cb3d2972b5d0f442ea55f0447927838d93f9aa58db13781b914b,613bebbcd3bbd15764f291f45d9ffa8cd2e2a946129a6ced770bb0d8c173d327,30,30,32,30,False
django__django-11583,928c8b440c9f42963d4d8733a6ca7017da561cd3218157a97d20ed017887e26a,0d74d8a847538924284a794ecbdde6d835e4a8fde5f22af43749c7643052ba6a,5807b30525382409b0008e784c97a2404697e9d8abad5cd3cba432f2464cd5b9,756f9c237fee50767ae361f26e31bf9d835184227abfcfd9e74919cbeddb46c2,30,30,29,30,False
django__django-11603,a856d91575254691f95df3edeb57c351a1d4e0b82ccd7d4289b342cb37135dd0,0d77ba2cb18404ac239092ca6e2f3546a5b55ce842aa35e13f740b27f2555ca1,527e4ecb89f903baef65960541b8d67057ba970c8a887783d2a6b377315195ae,148e6968a0ad08a6712994ca5c58b85f9b362a48376ea361c6aefd212f955f41,30,30,31,34,False
django__django-11620,a134f39428e853548e02e0a5b256a7972e700d299f1ffeab925541b6c689fb64,b6b37acb2b2cf5c327e09e58f7ef4ed5cba5895df6790d2597aa721185c559d6,bbfc9f7a2836f8fea7a6d6fb1967d5301aec8c10e950088409ac3e6671ff9ed0,4a23bc0619c731db0fdd7185cc36309a9d11ab437913179ff8efa4fc14d1e997,30,30,30,30,False
django__django-11630,4ee530fcea6b80c066c9d600e373156990e9f5659ce7e6c9e49ef59ff2d3d3c6,4118e06e49186d39498714a922ced24b5c4ff9ac1d514c924cf02268f72a98a7,922c2a9fac623b9af735fed2250cd929c1cda1c04ba5667b8441311fd1a8b4aa,f4a20302392d06acfe07c373bb2167da02ef2bb04ef3d6686e7418091c6306e6,30,30,34,34,False
django__django-11728,a02073787b5733a78233151915f6b0f025b2b23c92ba3c88cd4beb459feab539,76539399bcfe665a104c535cb47f7fe7db510149ade633aeac66ca4bd03cc854,ad246d03af9c382dca3e2338fe0801e9139be2f8f56a8412cbf521d08d82c5f9,68309cbfdffab75d1bf603df7ae40a686150109ef618586539b88bced3143e21,30,30,37,34,False
django__django-11734,27d07a3ca5b75be31287b5b2bd7ffce75553cb3e029a01d6420b2b25a22d47fe,2adfaeef4212d71eaa27f12d95a32fa2ac665457d2c2640bab0a62c92387a8b2,c5b4e8024bb7eb7a9599428e09bc2f59bdc701e8784d31a7f23ec19f6c3677d4,2da274395e8a48b09bf12ad7318a891d79433bb3928586dd33cbff0e201116c5,30,30,33,34,False
django__django-11740,ecb87e9714f8cee07807a6688f70ac405a24ab9f68cc43cc0c89afbf07ff949e,6e5aaaa791c88bd3aee53c28333c9006816d79dda8643b172c8141bf379c3f5f,cd125d844791c236ac34560c13f78e8f395b18aafb90ce6dee88ac9d05deebba,4ec403be56fe5fd60515ea9a6014e227c129b99e880b31113c0c0fd163475287,30,30,41,34,False
django__django-11749,375045f08eef3be3499596d208e48c10703892a5176a2108aee064e00fdcb4a7,d2bd8fc73cea6f8d7bccddc563e92ac451d0ab2ca21d3e569e185d8e2bbbffbf,13c38a521af925512247d42cb3110ee1111b7bfe5ada7802c3935754f91768b9,26795d01424a100bc59ae8b5495d3229d8b899fe4dbb6febaddec0185c0420da,30,30,29,30,False
django__django-11790,7ae08b55abd60c1b9d725c934a36f3480b3d8e0f47012197cf50f43cf07e4e69,8eb24a246e2aec100ff6c54065bb4157d4e10500c07dd3b6cf2a18eca2204b92,aa592aec9dd2f1a07413d091b49b0ee37ac40643b49aabe9c05b49b8411d63fc,e42f5b6d72ff619451ac2a90a6e3f0d534d1c51503fca261187cefa15e88fbb1,30,30,31,30,False
django__django-11797,03def5629e6d9504a84ef683db51c9b53d8489ac4012ef1ea6315e72dd5a82eb,e17ef8ae209c9ad12d0090cbac6ef17d5db24e6d481aee0b4328f0a1848c8119,fdffbd219f09cd27d769229fab89727474abbe161e2a60eebe94894d452e6337,5f85575dc7626369829d474ac3040cb75bdaf1d6e99e36cd3d11b794ecbc047e,30,30,36,40,False
django__django-11848,63b202cbc91172a16fbe6cc98df36a9c6c7d4ae87671e3b96db9ef110af64ce3,3a06977aa24362dde6044304e0c1ce766eb1fca2719bc10f98a7eaafe04d9160,ecd24f36e2b86ed6fceaa14fb09c08eb22f5024475a0b76edbe3a780a1604cb4,c223ea3096595bf72459d148f912ff1eb56b9aa1625cb4933180732c09a3bb89,30,30,31,29,False
django__django-11880,227fde03e67ffb47a3f82954c46d2ef130bf81cd467c2b65781852ef18187efc,561cbac2a03dfb386eed577e30814584963a5f63c78bf5939e93ab7b48214570,252c8033440bbe9e7bf54e0950e4b6d43a44a6d1dd655cccc0276bb84642be39,cc47c432fd563452fd0cf5db0363898d9e9747e6b00b7b3d8f52c356208a66bf,30,30,32,34,False
